Id	competition	ENG longdescription	ENG Description	FRA longdescription	FRA Description
ALV	N	Olympic and Paralympic Village	OLY/PAR Village	Village Olympique/Paralympique	Village Ol./Paralympique
AQC	Y	Aquatics Centre	Aquatics Centre	Centre aquatique	Centre aquatique
AQU	Y	Water Park	Water Park	Parc aquatique	Parc aquatique
AWP	Y	Water Polo Arena	Water Polo Arena	Pavillon de water-polo	Pavillon de water-polo
BBA	Y	Basketball Arena	Basketball Arena	Pavillon de basketball	Pavillon de basketball
BMX	Y	BMX Track	BMX Track	Piste de BMX	Piste de BMX
BRH	Y	Brands Hatch	Brands Hatch	Brands Hatch	Brands Hatch
BXH	Y	Box Hill	Box Hill	Box Hill	Box Hill
CDM	N	Olympic Park Common Domain	OPK Common Domain	Domaine commun du Parc olympique	Domaine commun PO
COV	Y	City of Coventry Stadium	City of Coventry Stadium	City of Coventry Stadium	City of Coventry Stadium
EAR	Y	Earls Court	Earls Court	Earls Court	Earls Court
EN1	Y	ExCeL - North Arena 1	ExCeL - North Arena 1	ExCeL - North Arena 1	ExCeL - North Arena 1
EN2	Y	ExCeL - North Arena 2	ExCeL - North Arena 2	ExCeL - North Arena 2	ExCeL - North Arena 2
ES1	Y	ExCeL - South Arena 1	ExCeL - South Arena 1	ExCeL - South Arena 1	ExCeL - South Arena 1
ES2	Y	ExCeL - South Arena 2	ExCeL - South Arena 2	ExCeL - South Arena 2	ExCeL - South Arena 2
ES3	Y	ExCeL - South Arena 3	ExCeL - South Arena 3	ExCeL - South Arena 3	ExCeL - South Arena 3
ETD	Y	Eton Dorney	Eton Dorney	Eton Dorney	Eton Dorney
ETM	Y	Eton Manor	Eton Manor	Eton Manor	Eton Manor
EXL	Y	ExCeL	ExCeL	ExCeL	ExCeL
F10	N	Football Hotel Cardiff - Hilton	FH Cardiff - Hilton	Hôtel football Cardiff - Hilton	Hf Cardiff - Hilton
FH1	N	Football Hotel Glasgow - Marriot	FH Glasgow - Marriot	Hôtel football Glasgow - Marriot	Hf Glasgow - Marriot
FH2	N	Football Hotel Glasgow - Hilton	FH Glasgow - Hilton	Hôtel football Glasgow - Hilton	Hf Glasgow - Hilton
FH3	N	Football Hotel Newcastle - Hilton	FH Newcastle - Hilton	Hôtel football Newcastle - Hilton	Hf Newcastle - Hilton
FH4	N	Football Hotel Newcastle - Marriot Gosforth Park	FH Newcastle-Marriot G.P.	Hôtel football Newcastle - Marriot Gosforth Park	Hf Newcastle-Marriot G.P.
FH5	N	Football Hotel Manchester - Marriot Worsley	FH Manchester-Marriot W.	Hôtel football Manchester - Marriot Worsley	Hf Manchester-Marriot W.
FH6	N	Football Hotel Manchester - Marriot V&A	FH Manchester-Marriot V&A	Hôtel football Manchester - Marriot V&A	Hf Manchester-Marriot V&A
FH7	N	Football Hotel Coventry - Hilton	FH Coventry - Hilton	Hôtel football Coventry - Hilton	Hf Coventry - Hilton
FH8	N	Football Hotel Coventry - Chesford Grange	FH Coventry-Ches. Grange	Hôtel football Coventry - Chesford Grange	Hf Coventry-Ches. Grange
FH9	N	Football Hotel Cardiff - Marriott	FH Cardiff - Marriott	Hôtel football Cardiff - Marriott	Hf Cardiff - Marriott
GRP	Y	Greenwich Park	Greenwich Park	Greenwich Park	Greenwich Park
H01	N	Media Hotel - Holiday Inn Cardiff	Holiday Inn Cardiff	Holiday Inn Cardiff	Holiday Inn Cardiff
H02	N	Media Hotel - Park Inn Cardiff	Park Inn Cardiff	Park Inn Cardiff	Park Inn Cardiff
H03	N	Media Hotel - Jurys Inn Newcastle	Jurys Inn Newcastle	Jurys Inn Newcastle	Jurys Inn Newcastle
