Discipline	Gender	Event	phase	type	ENG longdescription	ENG Description	FRA longdescription	FRA Description
AF	0	CMD	0	8	Comedy	Comedy	Comedy	Comedy
AF	0	CRC	0	8	Circus / Street Arts	Circus / Street Arts	Circus / Street Arts	Circus / Street Arts
AF	0	CUL	0	8	General	General	Général	Général
AF	0	CUL	1	8	General	General	Général	Général
AF	0	CUL	2	8	General	General	Général	Général
AF	0	DGT	0	8	Digital / Film / Video	Digital / Film / Video	Digital / Film / Video	Digital / Film / Video
AF	0	DNC	0	8	Dance	Dance	Dance	Dance
AF	0	LTR	0	8	Literary Arts	Literary Arts	Literary Arts	Literary Arts
AF	0	MSC	0	8	Music	Music	Music	Music
AF	0	SPO	0	8	General	General	Général	Général
AF	0	THT	0	8	Theatre	Theatre	Theatre	Theatre
AF	0	VSL	0	8	Visual Arts	Visual Arts	Visual Arts	Visual Arts
AF	0	VSL	1	8	Visual Arts	Visual Arts	Visual Arts	Visual Arts
AQ	0	000	0	8	Aquatics Sport	Aquatics Sport	Natation	Natation
AR	0	000	0	8	Archery	Archery	Tir à l'arc	Tir à l'arc
AR	0	000	N	7	Archery - Draw	Archery - Draw	Tir a l'arc - tirage au sort	Tir a l'arc - tirage au sort
AR	0	000	Q	4	Archery Team Captains Meeting	Archery Team Captains Meeting	Tir à l'arc - réunion des chefs d'équipe	Tir à l'arc - réunion des chefs d'équipe
AR	0	000	Y	8	Archery Daily Schedule	Archery Daily Schedule	Tir à l'arc - calendrier par jour	Tir à l'arc - calendrier par jour
AR	0	070	Z	8	Archery Individual - Session	Archery Individual - Session	Tir à l'arc - épreuve individuelle	Tir à l'arc - épreuve individuelle
AR	0	470	Z	8	Archery Team - Session	Archery Team - Session	Tir à l'arc - épreuve par équipes	Tir à l'arc - épreuve par équipes
AR	0	LCG	0	8	Lord's Cricket Ground	Lord's Cricket Ground	Lord's Cricket Ground	Lord's Cricket Ground
AR	M	000	0	8	Men	Men	Hommes	Hommes
AR	M	070	0	8	Men's Individual	Men's Individual	Épreuve individuelle - hommes	Épreuve individuelle - hommes
AR	M	070	1	3	Men's Individual Medal Matches	Men's Individual Medal Matches	Épreuve individuelle - hommes, matches pour les médailles	Ép. ind. - hommes, matches médailles
AR	M	070	2	3	Men's Individual Semifinals	Men's Individual Semifinals	Épreuve individuelle - hommes, demi-finales	Ép. ind. - hommes, demi-finales
AR	M	070	3	3	Men's Individual Quarterfinals	Men's Individual Quarterfinals	Épreuve individuelle - hommes, quarts de finale	Ép. ind. - hommes, 1/4 finale
AR	M	070	4	3	Men's Individual 1/8 Eliminations	Men's Individual 1/8 Eliminations	Épreuve individuelle - hommes, éliminatoires (1/8 finale)	Ép. ind. - hommes, éliminatoires (1/8)
AR	M	070	5	3	Men's Individual 1/16 Eliminations	Men's Individual 1/16 Eliminations	Épreuve individuelle - hommes, éliminatoires (1/16 finale)	Ép. ind. - hommes, éliminatoires (1/16)
AR	M	070	6	3	Men's Individual 1/32 Eliminations	Men's Individual 1/32 Eliminations	Épreuve individuelle - hommes, éliminatoires (1/32 finale)	Ép. ind. - hommes, éliminatoires (1/32)
AR	M	070	9	3	Men's Individual Ranking Rounds	Men's Individual Ranking Rounds	Épreuve individuelle - hommes, tours de classement	Ép. ind. - hommes, classement
AR	M	070	M	6	Men's Individual Victory Ceremony	Men's Individual Victory Ceremony	Épreuve individuelle - hommes, cérémonie de remise des médailles	Ép. ind. - hommes, remise des médailles
AR	M	470	0	8	Men's Team	Men's Team	Épreuve par équipes - hommes	Épreuve par équipes - hommes
AR	M	470	1	3	Men's Team Medal Matches	Men's Team Medal Matches	Épreuve par équipes - hommes, matches pour les médailles	Ép. équipes - hommes, matches médailles
AR	M	470	2	3	Men's Team Semifinals	Men's Team Semifinals	Épreuve par équipes - hommes, demi-finales	Ép. équipes - hommes, demi-finales
AR	M	470	3	3	Men's Team 1/4 Eliminations	Men's Team 1/4 Eliminations	Épreuve équipes - hommes, éliminatoires (1/4 finale)	Ép. équipes - hom., éliminatoires (1/4)
AR	M	470	4	3	Men's Team 1/8 Eliminations	Men's Team 1/8 Eliminations	Épreuve par équipes - hommes, éliminatoires (1/8 finale)	Ép. équipes - hom., éliminatoires (1/8)
AR	M	470	9	3	Men's Team Ranking Rounds	Men's Team Ranking Rounds	Épreuve par équipes - hommes, tours de classement	Ép. équipes - hommes, classement
AR	M	470	M	6	Men's Team Victory Ceremony	Men's Team Victory Ceremony	Épreuve par équipes - hommes, cérémonie de remise des médailles	Ép. équipes - hommes, remise médailles
AR	W	000	0	8	Women	Women	Femmes	Femmes
AR	W	070	0	8	Women's Individual	Women's Individual	Épreuve individuelle - femmes	Épreuve individuelle - femmes
AR	W	070	1	3	Women's Individual Medal Matches	Women's Individual Medal Matches	Épreuve individuelle - femmes, matches pour les médailles	Ép. ind. - femmes, matches médailles
AR	W	070	2	3	Women's Individual Semifinals	Women's Individual Semifinals	Épreuve individuelle - femmes, demi-finales	Ép. ind. - femmes, demi-finales
AR	W	070	3	3	Women's Individual Quarterfinals	Women's Individual Quarterfinals	Épreuve individuelle - femmes, quarts de finale	Ép. ind. - femmes, 1/4 finale
AR	W	070	4	3	Women's Individual 1/8 Eliminations	Women's Individual 1/8 Eliminations	Épreuve individuelle - femmes, éliminatoires (1/8 finale)	Ép. ind. - femmes, éliminatoires (1/8)
AR	W	070	5	3	Women's Individual 1/16 Eliminations	Women's Individual 1/16 Eliminations	Épreuve individuelle - femmes, éliminatoires (1/16 finale)	Ép. ind. - femmes, éliminatoires (1/16)
AR	W	070	6	3	Women's Individual 1/32 Eliminations	Women's Individual 1/32 Eliminations	Épreuve individuelle - femmes, éliminatoires (1/32 finale)	Ép. ind. - femmes, éliminatoires (1/32)
AR	W	070	9	3	Women's Individual Ranking Rounds	Women's Individual Ranking Rounds	Épreuve individuelle - femmes, tours de classement	Ép. ind. - femmes, classement
AR	W	070	M	6	Women's Individual Victory Ceremony	Women's Individual Victory Ceremony	Épreuve individuelle - femmes, cérémonie de remise des médailles	Ép. ind. - femmes, remise des médailles
AR	W	470	0	8	Women's Team	Women's Team	Épreuve par équipes - femmes	Épreuve par équipes - femmes
AR	W	470	1	3	Women's Team Medal Matches	Women's Team Medal Matches	Épreuve par équipes - femmes, matches pour les médailles	Ép. équipes - femmes, matches médailles
AR	W	470	2	3	Women's Team Semifinals	Women's Team Semifinals	Épreuve par équipes - femmes, demi-finales	Ép. équipes - femmes, demi-finales
AR	W	470	3	3	Women's Team 1/4 Eliminations	Women's Team 1/4 Eliminations	Épreuve équipes - femmes, éliminatoires (1/4 finale)	Ép. équipes - fem., éliminatoires (1/4)
AR	W	470	4	3	Women's Team 1/8 Eliminations	Women's Team 1/8 Eliminations	Épreuve équipes - femmes, éliminatoires (1/8 finale)	Ép. équipes - fem., éliminatoires (1/8)
