Discipline	Gender	Event	phase	Eventunit	schedule	medalflag	ENG longdescription	ENG Description	FRA longdescription	FRA Description	Eventunittype	cisSchedule	infoSchedule	scheduleFilter11	scheduleFilter12	scheduleFilter21	scheduleFilter22	groupCriteria
AF	0	CUL	0	00	N	0	General	General	General	General	NONE	N	N					
AQ	0	000	0	00	N	0	Aquatics Sport	Aquatics Sport	Natation	Natation	NONE	N	N					
AR	0	000	0	00	N	0	Archery	Archery	Tir à l'arc	Tir à l'arc	NONE	N	N					
AR	0	000	N	01	Y	0	Archery - Draw	Archery - Draw	Tir à l'arc - tirage au sort	Tir à l'arc - tirage au sort	NONE	N	Y					
AR	0	000	Q	01	Y	0	Archery Team Captains Meeting	Archery Team Captains Meeting	Tir à l'arc - réunion des chefs d'équipe	Tir à l'arc - réunion des chefs d'équipe	NONE	N	Y					
AR	0	000	Y	00	N	0	Archery Daily Schedule	Archery Daily Schedule	Tir à l'arc, calendrier par jour	Tir à l'arc, calendrier par jour	NONE	N	N					
AR	0	000	Y	01	N	0	Archery Day 1	Archery Day 1	Tir à l'arc, jour 1	Tir à l'arc, jour 1	NONE	N	N					
AR	0	000	Y	02	N	0	Archery Day 2	Archery Day 2	Tir à l'arc, jour 2	Tir à l'arc, jour 2	NONE	N	N					
AR	0	000	Y	03	N	0	Archery Day 3	Archery Day 3	Tir à l'arc, jour 3	Tir à l'arc, jour 3	NONE	N	N					
AR	0	000	Y	04	N	0	Archery Day 4	Archery Day 4	Tir à l'arc, jour 4	Tir à l'arc, jour 4	NONE	N	N					
AR	0	000	Y	05	N	0	Archery Day 5	Archery Day 5	Tir à l'arc, jour 5	Tir à l'arc, jour 5	NONE	N	N					
AR	0	000	Y	06	N	0	Archery Day 6	Archery Day 6	Tir à l'arc, jour 6	Tir à l'arc, jour 6	NONE	N	N					
AR	0	000	Y	07	N	0	Archery Day 7	Archery Day 7	Tir à l'arc, jour 7	Tir à l'arc, jour 7	NONE	N	N					
AR	0	000	Y	08	N	0	Archery Day 8	Archery Day 8	Tir à l'arc, jour 8	Tir à l'arc, jour 8	NONE	N	N					
AR	0	000	Y	09	N	0	Archery Day 9	Archery Day 9	Tir à l'arc, jour 9	Tir à l'arc, jour 9	NONE	N	N					
AR	0	000	Y	10	N	0	Archery Day 10	Archery Day 10	Tir à l'arc, jour 10	Tir à l'arc, jour 10	NONE	N	N					
AR	0	000	Y	11	N	0	Archery Day 11	Archery Day 11	Tir à l'arc, jour 11	Tir à l'arc, jour 11	NONE	N	N					
AR	0	000	Y	12	N	0	Archery Day 12	Archery Day 12	Tir à l'arc, jour 12	Tir à l'arc, jour 12	NONE	N	N					
AR	0	000	Y	13	N	0	Archery Day 13	Archery Day 13	Tir à l'arc, jour 13	Tir à l'arc, jour 13	NONE	N	N					
AR	0	000	Y	14	N	0	Archery Day 14	Archery Day 14	Tir à l'arc, jour 14	Tir à l'arc, jour 14	NONE	N	N					
AR	0	000	Y	15	N	0	Archery Day 15	Archery Day 15	Tir à l'arc, jour 15	Tir à l'arc, jour 15	NONE	N	N					
AR	0	000	Y	16	N	0	Archery Day 16	Archery Day 16	Tir à l'arc, jour 16	Tir à l'arc, jour 16	NONE	N	N					
AR	0	000	Y	17	N	0	Archery Day 17	Archery Day 17	Tir à l'arc, jour 17	Tir à l'arc, jour 17	NONE	N	N					
